time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T08:41:08.380Z,16.708,-94.8824,65.53,4.3,mb,,175,2.667,0.86,us,us2000axr0,2017-10-02T11:16:43.040Z,"25km SE of Matias Romero, Mexico",earthquake,5.4,14.6,0.06,79,reviewed,us,us
2017-10-02T08:34:52.240Z,33.4786667,-116.735,14.12,0.72,ml,9,144,0.1779,0.26,ci,ci38016720,2017-10-02T08:38:35.266Z,"10km SW of Anza, CA",earthquake,1.18,3.64,0.206,9,automatic,ci,ci
2017-10-02T08:33:38.730Z,38.8073349,-122.8106689,1.63,1.64,md,20,77,0.01202,0.05,nc,nc72903031,2017-10-02T09:03:05.152Z,"5km NW of The Geysers, California",earthquake,0.27,0.38,0.11,5,automatic,nc,nc
2017-10-02T08:26:25.360Z,33.0053333,-116.2176667,14.8,0.74,ml,12,128,0.1893,0.19,ci,ci38016712,2017-10-02T08:30:01.265Z,"17km SSW of Ocotillo Wells, CA",earthquake,0.43,1.26,0.176,9,automatic,ci,ci
2017-10-02T08:10:30.720Z,42.5203333,-111.4165,8.15,1.44,ml,10,87,0.05522,0.12,uu,uu60250882,2017-10-02T18:41:00.980Z,"21km SE of Soda Springs, Idaho",earthquake,0.52,0.77,0.129,3,reviewed,uu,uu
2017-10-02T07:53:24.620Z,42.5443333,-111.4143333,7.62,1.13,md,8,83,0.04942,0.1,uu,uu60250877,2017-10-02T18:46:42.150Z,"19km SE of Soda Springs, Idaho",earthquake,0.46,0.65,0.179,5,reviewed,uu,uu
2017-10-02T07:41:07.570Z,33.3203333,-117.2646667,12.18,1.74,ml,8,283,0.4636,0.15,ci,ci38016696,2017-10-02T07:44:47.361Z,"5km E of Camp Pendleton North, CA",earthquake,1.95,31.61,0.234,6,automatic,ci,ci
2017-10-02T07:34:16.060Z,33.1801667,-116.0001667,3.71,1.31,ml,30,101,0.1618,0.26,ci,ci38016688,2017-10-02T07:37:43.344Z,"13km ENE of Ocotillo Wells, CA",earthquake,0.48,2.07,0.159,26,automatic,ci,ci
2017-10-02T07:16:30.896Z,39.5594,-119.9328,5.4,0.1,ml,4,213.33,0.053,0.0477,nn,nn00607881,2017-10-02T18:33:29.143Z,"5km N of Mogul, Nevada",earthquake,,12.7,0,1,reviewed,nn,nn
2017-10-02T07:01:05.686Z,63.1998,-151.5448,0,2.3,ml,,,,0.92,ak,ak16985021,2017-10-02T07:15:40.561Z,"122km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-02T06:58:19.500Z,67.3068,-155.4204,0,1.7,ml,,,,0.48,ak,ak16985020,2017-10-02T07:01:49.396Z,"77km NE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-02T06:52:50.610Z,33.7103333,-117.7741667,12.54,1.08,ml,19,122,0.04645,0.26,ci,ci38016680,2017-10-02T06:56:28.709Z,"3km NNE of Irvine, CA",earthquake,0.61,0.99,0.317,21,automatic,ci,ci
2017-10-02T06:52:11.140Z,36.8494,-115.9363,10.4,0.1,ml,11,193.99,0.103,0.1448,nn,nn00607887,2017-10-02T18:49:43.335Z,"71km N of Pahrump, Nevada",earthquake,,2.9,0.22,5,reviewed,nn,nn
2017-10-02T06:44:58.712Z,65.5759,-148.829,9.2,1.1,ml,,,,0.65,ak,ak16985018,2017-10-02T06:51:01.229Z,"89km NNW of Ester, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T06:38:18.850Z,19.2455006,-155.4123383,33.84,1.98,ml,56,89,0.01612,0.14,hv,hv61929841,2017-10-02T06:44:07.860Z,"8km ENE of Pahala, Hawaii",earthquake,0.5,0.62,0.22,5,automatic,hv,hv
2017-10-02T06:33:54.500Z,38.8339996,-122.7910004,2.13,0.56,md,8,103,0.01428,0.02,nc,nc72903021,2017-10-02T08:19:03.054Z,"6km WNW of Cobb, California",earthquake,0.45,1.63,,1,automatic,nc,nc
2017-10-02T06:32:03.790Z,34.9895,-82.8946667,0.16,1.9,md,7,215,0.03061,0.32,se,se60045313,2017-10-02T12:24:01.370Z,"20km NW of Pickens, South Carolina",earthquake,1.77,6.12,0.032,4,reviewed,se,se
2017-10-02T06:28:51.082Z,65.155,-148.5467,3.8,1.1,ml,,,,0.37,ak,ak16984019,2017-10-02T06:34:08.543Z,"42km NW of Ester, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-10-02T06:23:56.678Z,38.2439,-118.7334,19.5,0.1,ml,3,330.69,0.18,0.0387,nn,nn00607890,2017-10-02T18:53:05.647Z,"32km SSW of Hawthorne, Nevada",earthquake,,17.5,0.2,3,reviewed,nn,nn
2017-10-02T06:16:44.470Z,33.0406667,-116.4246667,9.85,1.02,ml,34,71,0.1483,0.21,ci,ci38016672,2017-10-02T06:20:30.276Z,"17km ESE of Julian, CA",earthquake,0.37,0.78,0.149,23,automatic,ci,ci
2017-10-02T06:14:31.383Z,61.9608,-150.2817,23.3,1.4,ml,,,,0.19,ak,ak16984018,2017-10-02T06:17:15.564Z,"27km NNW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-02T06:12:56.930Z,38.6003333,-112.0338333,7.01,1.58,ml,10,82,0.1427,0.07,uu,uu60250872,2017-10-02T16:29:00.130Z,"8km ESE of Monroe, Utah",earthquake,0.33,2.19,0.29,5,reviewed,uu,uu
2017-10-02T06:06:21.290Z,58.7701,-154.1032,99,3,ml,,,,0.73,ak,ak16984009,2017-10-02T06:17:15.352Z,"118km SSE of Old Iliamna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-10-02T06:02:47.170Z,42.5621667,-111.4096667,7.8,1.58,ml,12,59,0.03877,0.16,uu,uu60250867,2017-10-02T18:50:20.180Z,"18km ESE of Soda Springs, Idaho",earthquake,0.47,0.73,0.13,4,reviewed,uu,uu
2017-10-02T06:00:37.060Z,-41.7636,174.3565,24.13,4.2,mwr,,95,0.107,0.99,us,us2000axq4,2017-10-02T11:11:54.232Z,"43km SE of Blenheim, New Zealand",earthquake,3,6.3,0.062,25,reviewed,us,us
2017-10-02T05:59:15.030Z,38.8263321,-122.8051682,2.34,0.79,md,8,92,0.004826,0.02,nc,nc72903011,2017-10-02T07:28:02.937Z,"6km NW of The Geysers, California",earthquake,0.49,0.48,0.23,2,automatic,nc,nc
2017-10-02T05:46:45.850Z,32.7808333,-116.5891667,12.71,1.49,ml,32,52,0.1224,0.22,ci,ci38016664,2017-10-02T12:25:20.640Z,"7km SW of Pine Valley, CA",earthquake,0.34,0.94,0.185,18,reviewed,ci,ci
2017-10-02T05:45:45.260Z,33.1778333,-116.0083333,10.17,2.39,ml,63,37,0.1673,0.23,ci,ci38016656,2017-10-02T05:56:36.990Z,"12km ENE of Ocotillo Wells, CA",earthquake,0.24,1.05,0.172,26,automatic,ci,ci
2017-10-02T05:45:26.070Z,-21.8514,-179.4587,582.95,4.7,mb,,50,4.709,0.84,us,us2000axq3,2017-10-02T06:36:05.040Z,"154km SSW of Ndoi Island, Fiji",earthquake,9.9,6.1,0.036,239,reviewed,us,us
2017-10-02T05:42:39.240Z,33.1788333,-116.0086667,9.34,2.46,ml,63,36,0.1679,0.24,ci,ci38016648,2017-10-02T05:53:32.530Z,"12km ENE of Ocotillo Wells, CA",earthquake,0.25,1.27,0.147,26,automatic,ci,ci
2017-10-02T05:30:19.710Z,47.8878333,-122.8935,54.22,3.25,ml,64,25,0.07564,0.18,uw,uw61336471,2017-10-02T19:01:39.974Z,"15km WSW of Port Ludlow, Washington",earthquake,0.34,0.47,0.16,66,reviewed,uw,uw
2017-10-02T05:29:59.290Z,33.2253333,-116.5895,17.27,0.48,ml,22,115,0.05502,0.18,ci,ci38016640,2017-10-02T12:24:57.629Z,"8km SSE of Warner Springs, CA",earthquake,0.42,0.67,0.115,10,reviewed,ci,ci
